Entity,Year,cum_sum_regions,global_share_land_use_extent,foraging,extensive_agriculture,intensive_agriculture,pastoralism,urban,foraging_onset_date,foraging_decline_date,extensive_agriculture_onset,extensive_agriculture_decline,pastoralism_onset,pastoralism_decline,intensive_agriculture_onset,intensive_agriculture_decline,urban_onset,urban_decline
Bhutan,-2000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Bhutan,-1000,,,Common,Common,None,None,Absent,,,,,,,,,,
Bhutan,0,,,Common,Common,Minimal,Minimal,Split,,,,,,,,,,
Bhutan,1000,,,Minimal,Widespread,Common,Minimal,Present,,,,,,,,,,
Bhutan,1500,,,Minimal,Widespread,Common,Minimal,Present,,,,,,,,,,
Bhutan,1750,,,Minimal,Widespread,Common,Minimal,Present,,,,,,,,,,
Bhutan,1850,,,Minimal,Widespread,Common,Minimal,Present,,,,,,,,,,
Bosnia and Herzegovina,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Bosnia and Herzegovina,-6000,,,Common,Common,None,Common,Absent,,,,,,,,,,
Bosnia and Herzegovina,-4000,,,Common,Common,Minimal,Widespread,Absent,,,,,,,,,,
Bosnia and Herzegovina,-2000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Bosnia and Herzegovina,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Bosnia and Herzegovina,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-6000.0,1900.0,-6000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Bosnia and Herzegovina,1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Bosnia and Herzegovina,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Bosnia and Herzegovina,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Bosnia and Herzegovina,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Botswana,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Botswana,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Botswana,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Botswana,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Botswana,-1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Botswana,0,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Botswana,1000,,,Common,Common,Minimal,Common,Present,,,,,,,,,,
Botswana,1500,,,Common,Common,Minimal,Common,Present,,,,,,,,,,
Botswana,1750,,,Common,Common,Minimal,Common,Present,,,,,,,,,,
Botswana,1850,,,Common,Common,Minimal,Widespread,Present,,,,,,,,,,
Brazil,-8000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Brazil,-6000,,,Common,None,None,None,Absent,,,,,,,,,,
Brazil,-4000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Brazil,-2000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Brazil,-1000,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Brazil,0,,,Widespread,Common,Minimal,None,Absent,-6000.0,1900.0,-1000.0,1900.0,1900.0,1900.0,1000.0,1800.0,1000.0,1900.0
Brazil,1000,,,Common,Common,Common,None,Present,,,,,,,,,,
Brazil,1500,,,Widespread,Common,Minimal,None,Present,,,,,,,,,,
Brazil,1750,,,Common,Common,Common,Minimal,Present,,,,,,,,,,
Brazil,1850,,,Common,Common,Minimal,Common,Present,,,,,,,,,,
Bulgaria,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Bulgaria,-6000,,,Widespread,Common,Minimal,Common,Absent,,,,,,,,,,
Bulgaria,-4000,,,Minimal,Minimal,Widespread,Widespread,Absent,,,,,,,,,,
Bulgaria,-2000,,,Minimal,Minimal,Widespread,Widespread,Absent,,,,,,,,,,
Bulgaria,-1000,,,Minimal,Minimal,Widespread,Widespread,Absent,,,,,,,,,,
Bulgaria,0,,,Common,Minimal,Widespread,Widespread,Present,-8000.0,1000.0,-6000.0,1000.0,-6000.0,1900.0,-4000.0,1900.0,0.0,1900.0
Bulgaria,1000,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Bulgaria,1500,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Bulgaria,1750,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Bulgaria,1850,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Burkina Faso,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Burkina Faso,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Burkina Faso,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Burkina Faso,-2000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Burkina Faso,-1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Burkina Faso,0,,,Common,Widespread,Minimal,Common,Split,-8000.0,1550.0,-1000.0,0.0,0.0,1900.0,1000.0,1900.0,1000.0,1900.0
Burkina Faso,1000,,,Common,Minimal,Common,Common,Present,,,,,,,,,,
Burkina Faso,1500,,,Common,Minimal,Common,Widespread,Present,,,,,,,,,,
Burkina Faso,1750,,,Minimal,Minimal,Common,Widespread,Present,,,,,,,,,,
Burkina Faso,1850,,,Minimal,Minimal,Common,Widespread,Present,,,,,,,,,,
Burundi,-8000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Burundi,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Burundi,-4000,,,Common,None,None,None,Absent,,,,,,,,,,
Burundi,-2000,,,Common,None,None,Minimal,Absent,,,,,,,,,,
Burundi,-1000,,,Common,None,None,Common,Absent,,,,,,,,,,
Burundi,0,,,Common,Common,Minimal,Common,Present,-4000.0,1000.0,0.0,1900.0,-1000.0,1900.0,1550.0,1900.0,0.0,1900.0
Burundi,1000,,,Common,Common,Minimal,Common,Present,,,,,,,,,,
Burundi,1500,,,Minimal,Widespread,Common,Common,Present,,,,,,,,,,
Burundi,1750,,,Minimal,Widespread,Common,Common,Present,,,,,,,,,,
Burundi,1850,,,Minimal,Widespread,Common,Common,Present,,,,,,,,,,
Cambodia,-8000,,,Common,None,None,None,Absent,,,,,,,,,,
Cambodia,-6000,,,Common,None,None,None,Absent,,,,,,,,,,
Cambodia,-4000,,,Common,None,None,None,Absent,,,,,,,,,,
Cambodia,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Cambodia,-1000,,,Common,Common,None,None,Absent,,,,,,,,,,
Cambodia,0,,,Minimal,Common,Common,None,Absent,,,,,,,,,,
Cambodia,1000,,,Minimal,Common,Common,None,Present,,,,,,,,,,
Cambodia,1500,,,Minimal,Widespread,Widespread,None,Present,,,,,,,,,,
Cambodia,1750,,,Minimal,Widespread,Widespread,None,Present,,,,,,,,,,
Cambodia,1850,,,Minimal,Widespread,Widespread,None,Present,,,,,,,,,,
Cameroon,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cameroon,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cameroon,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cameroon,-2000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Cameroon,-1000,,,Common,Common,None,Minimal,Absent,,,,,,,,,,
Cameroon,0,,,Common,Widespread,Minimal,Minimal,Present,-8000.0,1900.0,-1000.0,1900.0,1550.0,1900.0,1000.0,1900.0,0.0,1900.0
Cameroon,1000,,,Common,Widespread,Common,Minimal,Present,,,,,,,,,,
Cameroon,1500,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Cameroon,1750,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Cameroon,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Canada,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Canada,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Canada,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Canada,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Canada,-1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Canada,0,,,Widespread,None,None,None,Absent,-8000.0,1900.0,1000.0,1000.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Canada,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Canada,1500,,,Widespread,Minimal,Minimal,None,Split,,,,,,,,,,
Canada,1750,,,Widespread,Minimal,Common,None,Present,,,,,,,,,,
Canada,1850,,,Widespread,Minimal,Widespread,Common,Present,,,,,,,,,,
Cayman Islands,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Cayman Islands,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Cayman Islands,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Cayman Islands,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Cayman Islands,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Cayman Islands,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Cayman Islands,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Cayman Islands,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Cayman Islands,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Cayman Islands,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Central African Republic,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Central African Republic,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Central African Republic,-4000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Central African Republic,-2000,,,Common,None,None,Common,Absent,,,,,,,,,,
Central African Republic,-1000,,,Minimal,None,None,Common,Absent,,,,,,,,,,
Central African Republic,0,,,Minimal,Common,None,Widespread,Absent,,,,,,,,,,
Central African Republic,1000,,,None,Widespread,None,Widespread,Split,,,,,,,,,,
Central African Republic,1500,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
Central African Republic,1750,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
Central African Republic,1850,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
Chad,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Chad,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Chad,-4000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Chad,-2000,,,Common,None,None,Common,Absent,,,,,,,,,,
Chad,-1000,,,Minimal,None,None,Common,Absent,,,,,,,,,,
Chad,0,,,Minimal,Common,None,Widespread,Absent,,,,,,,,,,
Chad,1000,,,None,Widespread,None,Widespread,Split,,,,,,,,,,
Chad,1500,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
Chad,1750,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
Chad,1850,,,Minimal,Common,None,Widespread,Present,,,,,,,,,,
China,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
China,-6000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
China,-4000,,,Common,Widespread,Minimal,None,Split,,,,,,,,,,
China,-2000,,,Common,Common,Common,None,Present,,,,,,,,,,
China,-1000,,,Minimal,Widespread,Widespread,None,Present,,,,,,,,,,
China,0,,,Minimal,Widespread,Widespread,None,Present,,,,,,,,,,
China,1000,,,None,Common,Widespread,None,Present,,,,,,,,,,
China,1500,,,None,Common,Widespread,None,Present,,,,,,,,,,
China,1750,,,None,Common,Widespread,None,Present,,,,,,,,,,
China,1850,,,None,Minimal,Widespread,None,Present,,,,,,,,,,
Congo,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Congo,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Congo,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Congo,-2000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Congo,-1000,,,Common,Common,None,Minimal,Absent,,,,,,,,,,
Congo,0,,,Common,Widespread,Minimal,Minimal,Present,-8000.0,1900.0,-1000.0,1900.0,1550.0,1900.0,1000.0,1900.0,0.0,1900.0
Congo,1000,,,Common,Widespread,Common,Minimal,Present,,,,,,,,,,
Congo,1500,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Congo,1750,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Congo,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Costa Rica,-8000,,,Common,None,None,None,Absent,,,,,,,,,,
Costa Rica,-6000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Costa Rica,-4000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Costa Rica,-2000,,,Common,Common,None,None,Absent,,,,,,,,,,
Costa Rica,-1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Costa Rica,0,,,Widespread,Widespread,Minimal,None,Absent,-8000.0,1900.0,-2000.0,1900.0,1800.0,1900.0,1000.0,1900.0,1000.0,1900.0
Costa Rica,1000,,,Widespread,Widespread,Common,None,Present,,,,,,,,,,
Costa Rica,1500,,,Widespread,Widespread,Minimal,None,Present,,,,,,,,,,
Costa Rica,1750,,,Widespread,Widespread,Common,Common,Present,,,,,,,,,,
Costa Rica,1850,,,Common,Widespread,Widespread,Common,Present,,,,,,,,,,
Cote d'Ivoire,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,-1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,0,,,Widespread,Widespread,None,None,Absent,,,,,,,,,,
Cote d'Ivoire,1000,,,Widespread,Common,Common,None,Present,,,,,,,,,,
